date,description,deposit,withdrawal,category,balance
2025-08-24,GOOGLE CLOUD BIGQUERY USAGE,,789.45,Cloud Computing,76993.30
2025-08-25,AKIKO'S RESTAURANT SF CA,,134.60,Dining,76858.70
2025-08-25,UBER EATS *TEMP AUTH 415-555-1234,,28.75,Food,76829.95
2025-08-25,AMAZON.COM*ER3456 AMZN.COM/BILL,,1567.89,Sports,75262.06
2025-08-25,ANTHROPIC CLAUDE-OPUS-4-1-API,,3456.78,AI Services,71805.28
2025-08-26,TARGET.COM * 800-591-3869 MN,,98.33,Shopping,71706.95
2025-08-26,EXXONMOBIL 57849600123 CA,,71.45,Transportation,71635.50
2025-08-26,AWS ELASTIC IP 866-216-1072 WA,,123.45,Technology,71512.05
2025-08-26,GOOGLE NANO-BANANA API CALLS,,456.78,AI Services,71055.27
2025-08-27,NEW YORK LIFE INS 8009876543,,234.50,Insurance,70820.77
2025-08-27,AMAZON FRESH*W847JK AMZN.COM/BI,,87.65,Food,70733.12
2025-08-27,AMAZON.COM*PO9012 AMZN.COM/BILL,,3456.78,Photography,67276.34
2025-08-27,OPENAI API FUNCTION CALLING,,890.12,AI Services,66386.22
2025-08-28,GOLDEN GATE CAR WASH SF CA,,25.00,Auto,66361.22
2025-08-28,WALGREENS #07841 PALO ALTO CA,,34.99,Pharmacy,66326.23
2025-08-28,AWS SUPPORT PLAN 866-216-1072 WA,,789.00,Technology,65537.23
2025-08-28,GOOGLE COMPUTE ENGINE K8S-CLUS,,1234.56,Cloud Computing,64302.67
2025-08-29,NORDSTROM #121 SAN FRANCISCO CA,,456.80,Clothing,63845.87
2025-08-29,CHIPOTLE 0847 MOUNTAIN VIEW CA,,12.95,Fast Food,63832.92
2025-08-29,AMAZON.COM*CV6789 AMZN.COM/BILL,,2789.45,Computer,61043.47
2025-08-29,ANTHROPIC CLAUDE-OPUS-4-1-API,,6789.01,AI Services,54254.46
2025-08-30,PGANDE ONLINE PMT REF 8457291,,156.70,Utilities,54097.76
2025-08-30,PETCO #847 REDWOOD CITY CA,,78.99,Pet Care,54018.77
2025-08-30,AWS DATA TRANSFER 866-216-1072,,345.67,Technology,53673.10
2025-08-30,GOOGLE NANO-BANANA ENTERPRISE,,2345.67,AI Services,51327.43
2025-08-31,SCHWAB MONEYLINK TRANSFER 8457,,5000.00,Savings,46327.43
2025-08-31,AMAZON.COM*FINAL8 AMZN.COM/BILL,,1234.56,Miscellaneous,45092.87
2025-08-31,OPENAI MONTHLY INVOICE AUG-2025,,3456.78,AI Services,41636.09
